PLU,Item_Name,min
46000064571,"Pollock, Lemon Dill",2019-10-01
46000064571,Lemon Dill Pollock,2019-10-01
27661900000,Roman Cappellini Pasta Salad ,2019-10-01
27690800000,Sweet Chili tofu,2019-10-01
27720900000,Bucks Tuna Salad,2019-10-01
27848700000,Spinach Feta Orzo,2019-10-01
46000064478,Grilled Bok Choy,2019-10-01
27848700000,Spinach Feta Orzo Salad,2019-10-01
46000064443,Mom's Chicken Soup,2019-10-01
46000064401,Caesar Salad,2019-10-01
46000064170,Grilled Balsamic Chicken,2019-10-01
28452000000,Grilled Chicken,2019-10-01
46000064399,Greek Salad,2019-10-01
46000064396,Vanilla Almond Granola,2019-10-01
46000064396,GRANOLA VANILLA ALMOND SB,2019-10-01
46000064395,YOGURT VANILLA LOW FAT SB,2019-10-01
46000064395,Low Fat Vanilla Yogurt,2019-10-01
28452000000,Grilled Chicken Breast,2019-10-01
46000064386,Cooked White Rice,2019-10-01
46000064385,RICE BROWN COOKED HB,2019-10-01
46000064385,Brown Rice,2019-10-01
46000055899,Pepperoncini,2019-10-01
46000055863,Iceburg Wedges,2019-10-01
46000055892,Peas,2019-10-01
46000018399,Honey Mustard Chicken & Spinach Salad,2019-10-01
46000018496,Beef Chili with Beans,2019-10-01
46000018498,Double Cheddar Broccoli Soup,2019-10-01
46000018499,Lentil Dal & Spinach Soup,2019-10-01
