,Pan_ID,PLU,0
704,160.0,46000055768,19
705,160.0,46000055793,33
706,160.0,46000055807,19
707,160.0,46000055812,14
708,160.0,46000055820,19
709,160.0,46000055832,10
710,160.0,46000055834,4
711,160.0,46000055848,20
712,160.0,46000055863,2
713,160.0,46000055892,14
714,160.0,46000055903,19
715,160.0,46000055911,15
716,160.0,46000055914,22
717,160.0,46000055923,2
718,160.0,46000055943,17
719,160.0,46000056602,9
720,160.0,46000057474,3
721,160.0,46000058382,3
722,160.0,46000059365,4
723,160.0,46000059666,1
724,160.0,46000059671,8
725,160.0,46000059699,1
726,160.0,46000060011,29
727,160.0,46000060270,4
728,160.0,46000060414,3
729,160.0,46000060601,1
730,160.0,46000060630,1
731,160.0,46000060727,21
732,160.0,46000062848,19
733,160.0,46000063050,2
734,160.0,46000063819,37
735,160.0,46000064022,1
736,160.0,46000064571,1
737,160.0,46000064572,1
738,160.0,46000064603,8
739,160.0,46000064784,6
740,160.0,46000064878,1
741,160.0,46000064891,5
742,160.0,46000064903,4
743,160.0,46000064940,5
744,160.0,46000065008,16
745,160.0,46000065097,20
746,160.0,48000006773,5
747,160.0,48000037963,5
748,161.0,00449791900,22
749,161.0,27110600000,2
750,161.0,28452000000,11
751,161.0,46000003326,4
752,161.0,46000003438,1
753,161.0,46000006607,2
754,161.0,46000007289,1
755,161.0,46000007582,2
756,161.0,46000008373,4
757,161.0,46000008996,1
758,161.0,46000010510,14
759,161.0,46000016104,1
760,161.0,46000018073,13
761,161.0,46000018074,5
762,161.0,46000018075,21
763,161.0,46000018118,2
764,161.0,46000019137,1
765,161.0,46000024076,16
766,161.0,46000024761,2
767,161.0,46000026987,1
768,161.0,46000028908,1
769,161.0,46000028910,1
770,161.0,46000028992,2
771,161.0,46000028994,1
772,161.0,46000029060,1
773,161.0,46000029434,4
774,161.0,46000055733,12
775,161.0,46000055736,1
776,161.0,46000055793,8
777,161.0,46000055820,2
778,161.0,46000055832,16
779,161.0,46000055842,1
780,161.0,46000055848,2
781,161.0,46000055863,1
782,161.0,46000055892,9
783,161.0,46000055911,9
784,161.0,46000055914,5
785,161.0,46000055923,1
786,161.0,46000055943,6
787,161.0,46000056506,1
788,161.0,46000058382,3
789,161.0,46000060011,2
